"year","month","x","y"
1974,1,205,32.2433999153021
1974,2,206,41.4804012345679
1974,3,207,47.7190266595098
1974,4,208,49.1470402298851
1974,5,209,46.7326157894737
1974,6,210,37.2370328282828
1974,7,211,33.6080658446562
1974,8,212,27.7851178739473
1974,9,213,28.0825434634016
1974,10,214,31.1791986359761
1974,11,215,30.2786111111111
1974,12,216,31.9854170840847
1975,1,217,30.6678535732134
1975,2,218,37.8376977965099
1975,3,219,45.7708455522972
1975,4,220,49.2156832298137
1975,5,221,46.8662634408602
1975,6,222,44.9665277777778
1975,7,223,38.5170793650794
1975,8,224,39.5841254409452
1975,9,225,32.4696937543133
1975,10,226,31.316979312763
1975,11,227,28.9765458937198
1976,1,229,34.1758467023173
1976,2,230,40.0163690476191
1976,3,231,35.4819337631678
1976,4,232,39.6942658730159
1976,5,233,37.4093735390369
1976,6,234,33.5416318626401
1976,7,235,29.8721014492754
1976,8,236,28.9618827160494
1976,9,237,23.0351136363636
1976,10,238,29.538253968254
1976,11,239,38.4233333333333
1976,12,240,36.3181534232884
1977,2,242,35.1359322742475
1977,3,243,48.2341786602408
1977,4,244,41.4670296717172
1977,5,245,44.241935483871
1977,6,246,40.943983750549
1977,7,247,27.1362060005161
1977,8,248,27.1002921926134
1977,11,251,36.9624989020641
1977,12,252,31.7357557720058
1978,1,253,35.3437453838016
1978,2,254,37.1505812198068
1978,3,255,43.0500122189638
1978,4,256,45.3263888888889
1978,5,257,34.5951612903226
1978,6,258,30.7010416666667
1978,7,259,30.9208994708995
1978,8,260,26.6375329555502
1978,9,261,29.3494047619048
1978,10,262,27.0443095238095
1978,11,263,26.3979385307346
1978,12,264,33.3422393641889
1979,1,265,37.9614883305101
1979,2,266,34.8464262187088
1979,3,267,46.4223608707795
1979,4,268,48.4263441134029
1979,5,269,44.1113386574726
1979,6,270,39.8908388230127
1979,7,271,33.9589979387139
1979,8,272,28.7662579424573
1979,9,273,34.2747330070345
1979,10,274,30.0649697748128
1979,11,275,37.0204159080117
1979,12,276,39.4664610425383
1980,1,277,39.3497718870157
1980,2,278,39.8829769988955
1980,3,279,43.6275838175382
1980,4,280,49.8969715330305
1980,5,281,44.5826043848624
1980,6,282,38.1018055555556
1980,7,283,32.8669179523142
1980,8,284,35.1574511241447
1980,9,285,24.6979166666667
1980,10,286,34.798252688172
1980,11,287,36.6470330112721
1980,12,288,32.9078567937439
1981,1,289,41.2471774193548
1981,2,290,40.883630952381
1981,3,291,50.1073520974117
1981,4,292,54.8563888888889
1981,5,293,55.673252688172
1981,6,294,36.8343426501035
1981,7,295,37.0003641922286
1981,8,296,34.3058799956083
1981,9,297,34.120404040404
1981,10,298,35.5813172043011
1981,11,299,37.1905555555556
1981,12,300,37.8613822863611
1982,1,301,33.9839761570828
1982,2,302,39.89375
1982,3,303,46.780376344086
1982,4,304,50.7354452129996
1982,5,305,48.5261764317718
1982,6,306,34.6724527310924
1982,7,307,30.3524368863955
1982,8,308,28.4097926267281
1982,9,309,29.6975338867999
1982,10,310,30.7524193548387
1982,11,311,35.7183333333333
1982,12,312,43.4166023842917
1983,1,313,45.4998655913978
1983,2,314,50.8947916666667
1983,3,315,53.6091397849462
1983,4,316,56.5354166666667
1983,5,317,51.9220430107527
1983,6,318,44.6972222222222
1983,7,319,39.2754032258064
1983,8,320,29.8048625859881
1983,9,321,28.3723611111111
1983,10,322,36.0725806451613
1983,11,323,33.2398180233192
1983,12,324,38.6541666666667
1984,1,325,39.8118470823239
1984,2,326,39.6542528735632
1984,3,327,45.299931372549
1984,5,329,43.4562758799172
1984,6,330,42.8591282389108
1984,7,331,33.5111553851231
1984,8,332,31.2983870967742
1984,9,333,33.5920906432749
1984,10,334,30.1452840112202
1984,11,335,31.5401751207729
1984,12,336,36.7299085576259
1985,1,337,41.2471437198068
